tweet_id,retweet_count,favorite_count
892420643555336193,7525,35559
892177421306343426,5585,30753
891815181378084864,3702,23133
891689557279858688,7710,38842
891327558926688256,8309,37129
891087950875897856,2787,18726
890971913173991426,1809,10872
890729181411237888,16844,59944
890609185150312448,3841,25739
890240255349198849,6547,29395
890006608113172480,6543,28313
889880896479866881,4456,25740
889665388333682689,8934,44305
889638837579907072,3994,24898
889531135344209921,2017,13991
889278841981685760,4765,23250
888917238123831296,4010,26851
888804989199671297,3778,23570
888554962724278272,3093,18193
888078434458587136,3099,20102
887705289381826560,4821,27937
887517139158093824,10534,42786
887473957103951883,16076,63375
887343217045368832,9377,31063
887101392804085760,5332,28272
886983233522544640,6841,32151
886736880519319552,2857,11046
886680336477933568,4000,20775
886366144734445568,2830,19499
886267009285017600,4,110
886258384151887873,5648,25824
886054160059072513,98,0
885984800019947520,6009,30061
885528943205470208,5714,33149
885518971528720385,3333,18899
885311592912609280,16517,0
885167619883638784,3902,20176
884925521741709313,16117,71013
884876753390489601,4981,25656
884562892145688576,4200,22421
884441805382717440,5089,24990
884247878851493888,18132,66879
884162670584377345,2674,18839
883838122936631299,3057,20159
883482846933004288,8830,42277
883360690899218434,3302,20920
883117836046086144,5949,34229
882992080364220416,3472,22047
882762694511734784,4367,26067
882627270321602560,5429,25868
882268110199369728,10343,41362
882045870035918850,4349,27056
881906580714921986,3040,22465
881666595344535552,9540,46774
881633300179243008,7,115
881536004380872706,14303,45657
881268444196462592,4731,21476
880935762899988482,2502,15801
880872448815771648,3427,19640
880465832366813184,5553,26264
880221127280381952,3720,24881
880095782870896641,3886,25513
879862464715927552,3119,20677
879674319642796034,10,291
879492040517615616,2851,21701
879415818425184262,39862,97666
879376492567855104,2803,15559
879130579576475649,6089,0
879050749262655488,4215,20826
879008229531029506,2398,17582
878776093423087618,3661,17894
878604707211726852,6336,27791
878404777348136964,1146,0
878316110768087041,5943,0
878281511006478336,1146,7139
878057613040115712,6089,38919
877736472329191424,16950,73173
877611172832227328,71,0
877556246731214848,3409,20981
877316821321428993,4667,25377
877201837425926144,4991,25064
876838120628539392,2989,19148
876537666061221889,4212,21949
876484053909872640,2124,17382
876120275196170240,4189,25908
875747767867523072,3832,23254
875144289856114688,4405,20313
875097192612077568,5466,25427
875021211251597312,4234,23616
874680097055178752,4170,25769
874434818259525634,13052,0
874296783580663808,3709,24147
874057562936811520,3587,21074
874012996292530176,9192,31729
873580283840344065,3555,22467
873337748698140672,1422,0
873213775632977920,1422,6638
872967104147763200,4882,25293
872820683541237760,3357,13684
872620804844003328,3282,19249
872486979161796608,8167,37852
872122724285648897,7314,31824
871879754684805121,9882,34890
871762521631449091,3152,18792
871515927908634625,3144,18765
871166179821445120,5174,0
871102520638267392,4991,19475
871032628920680449,3459,21170
870804317367881728,5619,31353
870726314365509632,3,113
870656317836468226,2379,11487
870374049280663552,24119,77401
870308999962521604,3765,20449
870063196459192321,7548,34059
869772420881756160,9220,39731
869702957897576449,5726,26339
869596645499047938,2836,14911
869227993411051520,3433,19076
868880397819494401,13136,61023
868639477480148993,1884,0
868622495443632128,4818,24895
868552278524837888,1884,9415
867900495410671616,3820,22649
867774946302451713,6705,31777
867421006826221569,2278,15064
867072653475098625,110,0
867051520902168576,7222,30147
866720684873056260,4390,18742
866686824827068416,3185,18036
866450705531457537,32298,114537
866334964761202691,13052,49048
866094527597207552,7690,0
865718153858494464,5172,24092
865359393868664832,4588,24833
865006731092295680,7079,26296
864873206498414592,7976,30275
864279568663928832,2768,13703
864197398364647424,8123,28145
863907417377173506,3814,19371
863553081350529029,3861,14354
863471782782697472,2236,0
863432100342583297,4829,22364
863427515083354112,89,2073
863079547188785154,1026,8260
863062471531167744,2236,7941
862831371563274240,4749,18048
862722525377298433,3274,16118
862457590147678208,4548,19223
862096992088072192,21409,69885
861383897657036800,9901,34007
861288531465048066,3822,16181
861005113778896900,3537,15746
860981674716409858,1989,0
860924035999428608,738,0
860563773140209665,1989,7084
860524505164394496,4925,22344
860276583193509888,3264,17394
860184849394610176,5431,15743
860177593139703809,28713,0
859924526012018688,3824,18557
859851578198683649,3274,14617
859607811541651456,1448,17637
859196978902773760,28076,85053
859074603037188101,12705,32031
858860390427611136,7568,0
858843525470990336,3243,14798
858471635011153920,4539,20428
858107933456039936,2710,14965
857989990357356544,2427,15259
857746408056729600,9963,32533
857393404942143489,1541,5600
857263160327368704,4246,19101
857214891891077121,17,214
857062103051644929,157,0
857029823797047296,3735,17949
856543823941562368,2711,15595
856526610513747968,1771,11314
856330835276025856,630,0
856288084350160898,15,491
856282028240666624,5918,26475
855862651834028034,24,320
855860136149123072,922,4680
855857698524602368,1988,11338
855851453814013952,17069,43787
855818117272018944,5128,25492
855459453768019968,7772,28481
855245323840757760,5621,0
855138241867124737,43,0
854732716440526848,5741,21780
854482394044301312,6473,28034
854365224396361728,4447,18107
854120357044912130,7080,30700
854010172552949760,2994,15603
853760880890318849,5468,27455
853639147608842240,9512,33315
853299958564483072,3389,14902
852936405516943360,1893,0
852912242202992640,1719,8677
852672615818899456,2058,14382
852553447878664193,3315,15710
852311364735569921,9498,31954
852226086759018497,6544,19313
852189679701164033,1522,11079
851861385021730816,19,0
851591660324737024,3322,15719
851464819735769094,6765,23458
851224888060895234,5508,20026
850753642995093505,8717,29779
850380195714523136,2496,12691
850333567704068097,315,3352
850145622816686080,3644,15825
850019790995546112,4676,19789
849776966551130114,7290,29455
849668094696017920,4759,0
849412302885593088,3030,15410
849336543269576704,1825,11095
849051919805034497,8148,41111
848690551926992896,4168,24467
848324959059550208,4461,24022
848213670039564288,699,7941
848212111729840128,2918,15874
847978865427394560,3148,0
847971574464610304,420,0
847962785489326080,4893,22888
847842811428974592,1278,5286
847617282490613760,400,6798
847606175596138505,3313,18285
847251039262605312,4181,19971
847157206088847362,5662,19368
847116187444137987,3076,20914
846874817362120707,3792,19577
846514051647705089,11150,43444
846505985330044928,2962,13759
846153765933735936,8735,30777
846139713627017216,9730,30284
846042936437604353,2772,15583
845812042753855489,8405,28504
845677943972139009,4655,24604
845397057150107648,1733,7454
845306882940190720,5213,22785
845098359547420673,7424,0
844979544864018432,2470,13337
844973813909606400,3083,14706
844580511645339650,3025,16094
844223788422217728,2128,13370
843981021012017153,2871,14846
843856843873095681,4487,20980
843604394117681152,2665,16527
843235543001513987,5852,21046
842846295480000512,3530,14977
842765311967449089,1237,6586
842535590457499648,3412,17736
842163532590374912,5621,23937
842115215311396866,2948,13688
841833993020538882,14636,0
841680585030541313,7612,25249
841439858740625411,3578,12404
841320156043304961,5361,19426
841314665196081154,4527,15547
841077006473256960,5174,22415
840761248237133825,1720,0
840728873075638272,15659,0
840698636975636481,2,172
840696689258311684,949,12069
840632337062862849,1720,8824
840370681858686976,4441,16141
840268004936019968,5574,18899
839990271299457024,2219,13198
839549326359670784,7568,26979
839290600511926273,140,0
839239871831150596,6386,26647
838952994649550848,3900,19332
838921590096166913,2005,10940
838916489579200512,33,0
838831947270979586,10756,0
838561493054533637,1307,10787
838476387338051585,4664,22115
838201503651401729,9808,0
838150277551247360,324,1641
838085839343206401,1,138
838083903487373313,3055,17348
837820167694528512,7690,33535
